TEAM,Y!,ESPN,CBS,FIRST_NAME,LAST_NAME,GP,MPG,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,PPG,OREB,DREB,TREB,AST,TO,AST/TO,STL,BLK,PF,DD,TD,TOTMIN,TOTFGM,TOTFGA,FG%,TOT3PM,TOT3PA,3P%,TOTFTM,TOTFTA,FT%,TOTPTS,TOTOR,TOTDR,TOTREB,TOTAST,TOTTO,TOTSTL,TOTBLK,TOTPF,Comments,Name
LAC,SF/PF,PF,PF,Lamar,Odom,72,18,2.552,5.8,44.00%,0.53,1.6,0.33,1.056,1.6,66.00%,6.7,1,3.4,4.4,1.4,1,1.4,0.4,0.4,2,1,0,1296,183.74,417.6,45.00%,38.016,115.2,0.34,76.032,115.2,68.00%,481.54,72,244.8,316.8,100.8,72,28.8,28.8,144,B-CARE,Lamar Odom
ORL,PG/SG,SG,PG,E'Twaun,Moore,75,20,2.52,6,42.00%,0.91,2.4,0.38,0.68,0.9,76.00%,6.6,0.4,1.6,2,3,1.8,1.67,0.7,0.05,1.6,0,0,1500,189,450,40.00%,68.4,180,0.38,51.3,67.5,76.00%,497.7,30,120,150,225,135,52.5,3.75,120,D-SLEEP,E'Twaun Moore
NYK,PG/SG,PG/SG,SG,Iman,Shumpert,30,20,2.54,6.2,41.00%,0.58,1.8,0.32,0.96,1.2,80.00%,6.6,0.5,1.7,2.2,1.6,1.3,1.23,0.7,0.05,1.2,0,0,600,76.26,186,41.00%,17.28,54,0.32,28.8,36,80.00%,198.6,15,51,66,48,39,21,1.5,36,AVOID,Iman Shumpert
UTA,C,C,C,Enes,Kanter,75,16,2.53,4.6,55.00%,0,0,0,1.54,2.3,67.00%,6.6,1.9,3.1,5,0.4,1,0.4,0.35,0.65,1.8,0,0,1200,189.75,345,53.00%,0,0,0,115.58,172.5,67.00%,495.08,142.5,232.5,375,30,75,26.25,48.75,135,D-SLEEP/ B-CARE,Enes Kanter
TOR,PG,PG,PG,John,Lucas,70,12,2.4,6,40.00%,1.22,3.2,0.38,0.57,0.7,82.00%,6.6,0.3,0.9,1.2,1.6,0.8,2,0.4,0,1,0,0,840,168,420,40.00%,85.12,224,0.37,40.18,49,82.00%,461.3,21,63,84,112,56,28,0,70,,John Lucas
DET,PG/SG,SG,SG,Kim,English,74,18,2.2,5.5,40.00%,1.14,3,0.38,1.04,1.4,74.00%,6.6,0.4,1.8,2.2,1,1.4,0.71,0.6,0.1,1.5,0,0,1332,162.8,407,40.00%,84.36,222,0.38,76.664,103.6,74.00%,486.62,29.6,133.2,162.8,74,103.6,44.4,7.4,111,D-SLEEP,Kim English
MIL,PF/C,PF/C,PF,Drew,Gooden,70,15,2.42,5.5,44.00%,0.16,0.5,0.32,1.56,2,78.00%,6.6,1.3,2.5,3.8,1,1,1,0.4,0.3,1.5,0,0,1050,169.4,385,44.00%,11.2,35,0.32,109.2,140,78.00%,459.2,91,175,266,70,70,28,21,105,AVOID,Drew Gooden
CHA,PF/C,PF/C,C,Bismack,Biyombo,77,26,2.57,5.3,48.50%,0,0,0,1.404,2.6,54.00%,6.5,2.1,4.9,7,0.5,1.2,0.416666667,0.3,1.95,3,10,0,2002,197.93,408.1,50.00%,0,0,0,108.11,200.2,54.00%,503.96,161.7,377.3,539,38.5,92.4,23.1,150.15,231,B-ROLE/ H2H,Bismack Biyombo
NOR,PF,PF,PF,Hakim,Warrick,66,14,2.29,5.2,44.00%,0.04,0.2,0.2,1.92,2.6,74.00%,6.5,0.9,1.7,2.6,0.8,1,0.8,0.25,0.1,1.2,0,0,924,151.01,343.2,44.00%,2.64,13.2,0.2,126.98,171.6,74.00%,431.64,59.4,112.2,171.6,52.8,66,16.5,6.6,79.2,AVOID,Hakim Warrick
LAC,SF/PF,SF,SF,Grant,Hill,69,18,2.58,5.6,46.00%,0.29,0.8,0.36,1.01,1.3,78.00%,6.5,0.4,2,2.4,1.2,0.7,1.71,0.45,0.25,1.3,0,0,1242,177.74,386.4,46.00%,19.872,55.2,0.36,69.966,89.7,78.00%,445.33,27.6,138,165.6,82.8,48.3,31.05,17.25,89.7,AVOID,Grant Hill
NOR,SG,SG,SG,Roger,Mason,72,16,2.34,6,39.00%,1.52,4,0.38,0.24,0.3,80.00%,6.4,0.2,1,1.2,2,1.2,1.67,0.4,0.05,1.2,0,0,1152,168.48,432,39.00%,109.44,288,0.38,17.28,21.6,80.00%,463.68,14.4,72,86.4,144,86.4,28.8,3.6,86.4,,Roger Mason
MIA,PG,PG,PG,Norris,Cole,75,18,2.6,6.5,40.00%,0.3,1,0.3,0.94,1.2,78.00%,6.4,0.3,0.9,1.2,2,1.4,1.43,0.65,0.05,1.8,0,0,1350,195,487.5,40.00%,22.5,75,0.3,70.2,90,78.00%,482.7,22.5,67.5,90,150,105,48.75,3.75,135,,Norris Cole
MIN,PG/SG,SG,SG,Alexey,Shved,73,14,2.13,5.2,41.00%,1.22,3.2,0.38,0.94,1.2,78.00%,6.4,0.2,1.6,1.8,2.8,1.7,1.65,0.55,0.05,1.6,0,0,1022,155.64,379.6,41.00%,88.768,233.6,0.38,68.328,87.6,78.00%,468.37,14.6,116.8,131.4,204.4,124.1,40.15,3.65,116.8,D-SLEEP,Alexey Shved
PHO,SG/SF,SG/SF,SF,Wes,Johnson,76,22,2.54,6.2,41.00%,0.88,2.6,0.34,0.43,0.6,72.00%,6.4,0.4,2.4,2.8,1,0.8,1.25,0.6,0.6,1.8,0,0,1672,193.19,471.2,41.00%,67.184,197.6,0.34,32.832,45.6,72.00%,486.4,30.4,182.4,212.8,76,60.8,45.6,45.6,136.8,AVOID,Wes Johnson
DET,PG,PG,PG,Will,Bynum,70,15,2.35,5.6,42.00%,0.19,0.8,0.24,1.48,1.9,78.00%,6.4,0.3,1.1,1.4,1.8,1.4,1.29,0.65,0.05,1.6,0,0,1050,164.64,392,42.00%,13.44,56,0.24,103.74,133,78.00%,446.46,21,77,98,126,98,45.5,3.5,112,,Will Bynum
TOR,PF/C,PF/C,PF,Amir,Johnson,75,20,2.736,4.8,57.00%,0,0,0,0.897,1.3,69.00%,6.4,1.8,3.2,5,0.8,1.2,0.666666667,0.5,0.9,3,5,0,1500,205.2,360,56.00%,0,0,0,67.275,97.5,69.00%,477.68,135,240,375,60,90,37.5,67.5,225,AVOID,Amir Johnson
SAS,PF,PF/C,PF,Matt,Bonner,75,20,2.24,5.2,43.00%,1.6,3.8,0.42,0.3,0.4,75.00%,6.4,0.5,2.7,3.2,0.8,0.3,2.67,0.25,0.25,1.1,0,0,1500,167.7,390,43.00%,119.7,285,0.42,22.5,30,75.00%,477.6,37.5,202.5,240,60,22.5,18.75,18.75,82.5,,Matt Bonner
ATL,PF,PF,PF,Ivan,Johnson,76,16,2.5,4.8,52.00%,0.03,0.1,0.3,1.3,1.8,72.00%,6.3,1.2,3,4.2,0.5,1,0.5,0.7,0.25,2,1,0,1216,189.7,364.8,52.00%,2.28,7.6,0.3,98.496,136.8,72.00%,480.17,91.2,228,319.2,38,76,53.2,19,152,,Ivan Johnson
MIL,SF/PF,SF/PF,SF,Luc,Mbah a Moute,70,24,2.48,5.4,46.00%,0.03,0.1,0.255,1.22,1.8,68.00%,6.2,1.4,3,4.4,0.8,0.7,1.14,0.9,0.45,2.2,0,0,1680,173.88,378,46.00%,1.785,7,0.255,85.68,126,68.00%,435.22,98,210,308,56,49,63,31.5,154,AVOID,Luc Mbah a Moute
CHA,PF/C,PF,PF,Tyrus,Thomas,70,16,2.43,5.4,45.00%,0.02,0.1,0.2,1.33,1.8,74.00%,6.2,1.1,2.7,3.8,0.6,1,0.6,0.6,1,2.6,1,0,1120,170.1,378,45.00%,1.4,7,0.2,93.24,126,74.00%,434.84,77,189,266,42,70,42,70,182,AVOID,Tyrus Thomas
DAL,PF,PF,PF,Brandan,Wright,72,16,2.6,4.4,59.00%,0,0,0,0.85,1.4,61.00%,6,1.2,2.3,3.5,0.3,0.4,0.75,0.25,1.05,1.1,0,0,1152,186.91,316.8,60.00%,0,0,0,61.488,100.8,62.00%,435.31,86.4,165.6,252,21.6,28.8,18,75.6,79.2,,Brandan Wright
NYK,SG/SF,SG,SG,Ronnie,Brewer,72,22,2.51,5.4,46.50%,0.11,0.4,0.27,0.9,1.4,64.00%,6,0.8,2.2,3,1.8,0.8,2.25,1.15,0.25,1.1,0,0,1584,180.79,388.8,46.50%,7.776,28.8,0.27,64.512,100.8,64.00%,433.87,57.6,158.4,216,129.6,57.6,82.8,18,79.2,B-CARE,Ronnie Brewer
WAS,PG,PG,PG,AJ,Price,72,18,2.16,6,36.00%,0.86,2.6,0.33,0.84,1.1,76.00%,6,0.3,1.1,1.4,2.8,1.2,2.33,0.65,0,1.2,0,0,1296,155.52,432,36.00%,61.776,187.2,0.33,60.192,79.2,76.00%,433.01,21.6,79.2,100.8,201.6,86.4,46.8,0,86.4,,AJ Price
PHI,PF/C,PF/C,PF,Lavoy,Allen,76,20,2.52,5.2,48.50%,0,0,0,0.97,1.3,74.50%,6,1.6,3.6,5.2,1.3,0.8,1.62,0.35,0.55,2.2,3,0,1520,191.67,395.2,48.50%,0,0,0,73.606,98.8,74.50%,456.95,121.6,273.6,395.2,98.8,60.8,26.6,41.8,167.2,B-ROLE,Lavoy Allen
NYK,SF,SF,SF,Chris,Copeland,66,12,2.25,5,45.00%,0.44,1.2,0.37,1.07,1.3,82.00%,6,0.4,1.6,2,0.4,1,0.4,0.4,0.4,1.6,0,0,792,148.5,330,0.00%,29.304,79.2,0,70.356,85.8,0.00%,396.66,26.4,105.6,132,26.4,66,26.4,26.4,105.6,,Chris Copeland
